No,温泉名,施設名,施設ID,画像1,画像2,画像3,ジャンル,カテゴリー1,カテゴリー2,カテゴリー3,カテゴリー4,カテゴリー5,カテゴリー6,カテゴリー7,口コミ点数,口コミ件数,説明テキスト,住所,緯度,経度,営業期間,滞在時間（分）,優先表示フラグ,スポット番号,次の場所までの移動時間
16,,大谷寺・大谷観音,F0016,,,,観光,王道,,,,,,,4.1,201,日本最古の石窟仏で、弘法大師の作ともいわれている千手観音立像。本堂内には、千手観音とともに、釈迦三尊、薬師三尊、阿弥陀三尊が配置され、その十体を総称して大谷崖窟仏と呼ばれており、国の特別史跡重要文化財の二重指定を受けている。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒321-0345  栃木県宇都宮市大谷町1198番地,36.5962372,139.8207829,"拝観時間：夏季：4月～9月　8：30～17：00　/　冬季：10月～3月　9：00～16：30
休業日：木曜日　毎年12月21日～31日",,,,
17,,道の駅 みかも,F0017,,,,観光,王道,,,,,,,3.9,209,「道の駅みかも」は平成１８年４月２１日にオープンした県内１３番目の道の駅です。地域振興施設やドライバーが安心して休息できる施設を備えています。また、防災拠点としての機能も有しています。情報交流施設ではお出かけの際に役立つ道路情報や地域の情報をはじめとする様々な情報が入手できます。【大型ディスプレイ】２台【情報端末機】１台 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒323-1107  栃木県栃木市藤岡町大田和678,36.2967521,139.6254523,"営業時間：農産物直売所･物産館　8:00～20:00
営業時間：食事処（レストランみかも）･ジェラート　9:00～19:00
定休日：年中無休",,,,
18,,道の駅 きつれがわ,F0018,,,,観光,王道,,,,,,,4.1,243,※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒329-1412  栃木県さくら市喜連川4145-10,36.7154994,140.0326364,"営業：09:00～18:00 直売所　※その他はhttps://michinoeki-kitsuregawa.jp/でご確認ください。
休業：月 第２、第４",,,,
19,,明智平展望台,F0019,,,,観光,王道,,,,,,,4.3,245,"明智平からロープウェイで約３分。日光で一番といわれる展望地点、明智平展望台。中禅寺湖・華厳の滝・男体山など雄大なスケールで見渡せます。また東側には、切り立った断崖の連なる屏風岩や、はるかに続く山並みがご覧になれます。また、展望台から先は茶の木平方面に遊歩道が設けられていて、中禅寺湖まで抜けることもできます。（※要トレッキング装備）

料金: 大人片道600円 往復1,000円、明智平ロープウェイ
料金: 子供片道300円 往復　500円、明智平ロープウェイ
営業時間　09:00～15:30 明智平ロープウェイ ※紅葉シーズン等は営業開始時間が早まること、営業時間を延長することがあります。
※ロープウェイは荒天時（強風・雷など）や、点検整備のため運休する場合があります。ご了承ください。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-1445  栃木県日光市細尾深沢,36.7374928,139.514514,"その他：営業時間　09:00～15:30 明智平ロープウェイ ※紅葉シーズン等は営業開始時間が早まること、営業時間を延長することがあります。
その他 ※ロープウェイは荒天時（強風・雷など）や、点検整備のため運休する場合があります。ご了承ください。",,,,
20,那須塩原温泉,道の駅 那須与一の郷,F0020,,,,観光,王道,,,,,,,3.8,142,※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒324-0012  栃木県大田原市南金丸1584-6,36.8622289,140.0877217,"営業時間：9:00～18:00 情報館
営業時間：9:00～17:00 農産物直売館、加工・物産品館
営業時間：11:00～14:30 レストラン館　※日・祝日は11:00～15:00
休業：1月1日～3日と12月・1月の月曜日（祝日は翌日）",,,,
21,,宇都宮城址公園,F0021,,,,観光,王道,,,,,,,3.5,233,"平成19年3月に宇都宮城の一部復元してオープン。土塁の中には、宇都宮城の歴史に関する資料が見られる「宇都宮城もの知り館」、市内の観光案内やまちあるきに役立つ情報を見られる「まちあるき情報館」があります。
【規模】面積：0.7 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒320-0817  栃木県宇都宮市本丸町、旭1丁目地内,36.5546591,139.8850377,"その他：開館 9:00～21:30 清明館、和室
休館（日） 祝日の翌日は休み
開園時間 9:00～19:00 櫓（やぐら）などの歴史建築物と展示施設",,,,
22,,みかも山公園,F0022,,,,観光,王道,,,,,,,4.2,145,"三毳庭園、冒険の森,わんぱく広場、ハーブ園等があります。また、フラワートレインに乗り、みかも山を周遊もできます。
自然散策路・ハイキングコースが整備され、ウヲーキング派にも花見派にも、家族みんなで楽しめます。
【料金】 フラワートレイン（1日フリー券）大人500円　子ども300円 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒323-1107  栃木県栃木市藤岡町大田和761-1,36.3057629,139.6271045,"その他：公開 8:30～17:00
休業（火） （祝日の場合は翌日）年末年始",,,,
23,,真岡鐵道真岡駅,F0023,,,,観光,王道,,,,,,,4.0,133,"SL「C1266」が、土・日を中心に運行しています。

SLグッズなどの販売も行っています。（詳しくは真岡鐵道公式ホームページよりご確認ください）

駅東口にはSLキューロク館があり、SLファンのみならず、ご家族でも楽しめる施設です。
【料金】 大人: 500円 SL乗車券（中学生以上） ※ご乗車には別途、乗車区間の普通乗車券が必要になります。 子供: 250円 SL乗車券（小学生） ※ご乗車には別途、乗車区間の普通乗車券が必要になります。※未就学児については、大人1名につき未就学児2名まで無料です。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒321-4306  栃木県真岡市台町2474-1,36.439188,140.0025757,取得失敗,,,,
24,,八幡山公園,F0024,,,,観光,王道,,,,,,,4.1,259,"宇都宮タワーとゴーカートは月曜休、祝日の場合は翌日、年末年始
【料金】 大人: 190円 宇都宮タワー：高校生を含む、（注）市内に住む高校生、市内の高等学校に通う人は無料 中学生: 90円 宇都宮タワー：（注）市内に住む中学生、市内の中学校に通う人は無料 小学生: 90円 宇都宮タワー：（注）市内に住む小学生、市内の小学校に通う人は無料 その他: 140円 ゴーカート，対象：小学校3年生から中学校3年生まで、3歳から小学校2年生までと身長140cm未満は保護者同伴
【規模】面積：21 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒320-0027  栃木県宇都宮市塙田5丁目2番70号,36.5707184,139.8850851,"その他：休業 無休　有料施設は月曜休。祝日の場合は翌日休。
営業 9:00～16:00 ゴーカート
営業 9:00～16:30 宇都宮タワー",,,,
25,,栃木県中央公園,F0025,,,,観光,王道,,,,,,,4.1,94,"「水と緑と文化」をテーマに、4つの池を中心とした和洋折衷の廻遊式庭園。入口正面に洋風の池床園、左奥に日本庭園を配し、その間を大池で結び、博物館との調和を図っている。
【料金】 無料
【規模】面積：10.5（10.5ha） ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒320-0865  栃木県宇都宮市睦町2-50,36.5583943,139.8628818,"その他：開園時間 3月1日～9月30日 5:00～20:00
開園時間 10月1日～2月28日 5:30～18:00
休園日 年中無休。ただし、緑の相談所は火曜定休(火曜が祝日の場合は翌日)",,,,
26,那須塩原温泉,鬼怒川公園,F0026,,,,観光,王道,,,,,,,3.9,103,公園内に温泉施設があり、露天風呂の施設も完備しています。また、ボタン、シャクヤク、あやめ、カタクリ、松、フジなど季節の花も楽しめます。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒321-2521  栃木県日光市藤原,36.8405282,139.7233668,取得失敗,,,,
27,,道の駅 ばとう,F0027,,,,観光,王道,,,,,,,4.0,139,"レストラン、アイス工房、手作りハム、地元産の新鮮野菜。
営業 4月～10月 8:00～18:00 レストラン～19:00
営業 11月～3月 8:00～17:00
休業 1月1日 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒324-0617  栃木県那須郡那珂川町北向田181-2,36.74758,140.149897,"その他：営業 4月～10月 8:00～18:00 レストラン?19:00
営業 11月～3月 8:00～17:00
休業 1月1日",,,,
28,那須塩原温泉,回顧の吊橋,F0028,,,,観光,王道,,,,,,,4.1,101,"1９８７年完成の全長100メートル、高さ３0メートル、渓谷歩道の起点となる吊橋。蟇石園地からすぐ。スケールは関東有数。四季折々に姿を変える渓谷美は素晴らしい。回顧の吊橋を渡ると回顧の滝が見える。
【料金】 無料 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒329-2801  栃木県那須塩原市関谷,36.9608203,139.8770731,取得失敗,,,,
29,那須塩原温泉,チーズガーデン 那須本店,F0029,,,,グルメ,ご当地,王道,,,,,,4.3,943,※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒325-0001  栃木県那須郡那須町大字高久甲2888-64,37.0289919,140.0235871,取得失敗,,,,
30,那須塩原温泉,宇都宮みんみん 本店,F0030,,,,グルメ,ご当地,王道,,,,,,4.1,900,餃子会加盟店舗 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒321-0000  栃木県宇都宮市馬場通り4-2-3,36.5616133,139.8873684,"営業時間：月、水～日、祝日、祝前日: 11:30～20:00
定休日：火",,,,
31,,千本松牧場,F0031,,,,グルメ,ご当地,王道,,,,,,3.9,1105,※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒329-2747  栃木県那須塩原市千本松799,36.9237531,139.9333966,取得失敗,,,,
32,,まさし宮島店,F0032,,,,グルメ,ご当地,王道,,,,,,4.2,335,１９６５年の開店以来、いつ食べても変わらない餃子の味を守り続けている店。餃子専門店ならではの、サッパリしてクセのない『焼餃子』の味は餃子のイメージを変えてくれるほど絶品。寒い季節にはあったかくなれる『水餃子』もおすすめ。遠方の人からの注文は、クール便で配送してくれるのもうれしい。 昔ながらの味をつらぬく専門店ならではの味。（じゃらん現地スタッフの耳より情報） ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒320-0026  栃木県宇都宮市馬場通り4-3-18,36.5616357,139.88771,"営業：14時～20時（LO）、品物がなくなり次第終了
定休日：水
休業：月2回火曜不定、定休日が祝日の場合は翌日休",,,,
33,,ベーカリーカフェ・ペニーレイン,F0033,,,,グルメ,ご当地,王道,,,,,,4.3,861,ギャラリーまであるという、ビートルズ大好きオーナーのペンション「イマジン」に併設のベーカリーカフェ。那須のおいしい水を使って毎朝焼き上げるベーカリーショップのパンが、存分に頬張れるカフェだ。とろ～り熱々チーズを、香ばしいパンにからめていただく『チーズフォンデュ』で、その魅力を楽しもう！ 手作りパンが頬張れる高原のベーカリーカフェ ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒325-0301  栃木県那須郡那須町湯本656-2,37.06890996,140.0000642,"営業：カフェ11時～17時（LO16時）、ベーカリー8時～18時
その他：年中無休",,,,
34,,来らっせ 本店,F0034,,,,グルメ,ご当地,王道,,,,,,4.1,536,宇都宮の人気店の餃子を一度に味わえる！ ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒321-0000  栃木県宇都宮市馬場通り2-3-12 MEGAドン・キホーテラパーク宇都宮店地下1階,36.5607707,139.8852457,"営業時間：月～金、祝前日: 11:00～20:30 （料理L.O. 20:00 ドリンクL.O. 20:00）土、日、祝日: 11:00～21:00 （料理L.O. 20:30 ドリンクL.O. 20:30）
定休日：年中無休 （常設店のみ定休あり）",,,,
35,那須塩原温泉,お菓子の城那須ハートランド,F0035,,,,グルメ,ご当地,王道,,,,,,3.9,695,※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒325-0001  栃木県那須郡那須町大字高久甲4588-10,37.0171131,140.0304344,その他：営業 土日9:00?17:30 平日9:00?17:00 休業 無休,,,,
36,,大笹牧場 レストハウス,F0036,,,,グルメ,ご当地,,,,,,,3.9,257,レストラン　大笹牧場　ソフト　ジンギス ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒321-1264  栃木県日光市瀬尾大笹原3405,36.8409871,139.6172042,"営業時間：月～日、祝日、祝前日: 08:45～16:45
定休日：年末年始：12/31～1/2迄お休みいただきます。※定休日：1/9～2/28までの期間は水木休みです。",,,,
37,那須塩原温泉,ＮＡＳＵのラスク屋さん,F0037,,,,グルメ,ご当地,王道,,,,,,4.2,164,無料のコーヒーをいただきながら、１2種類ほどの試食のラスクを頂き、気に入ったものを購入すると良い。一番人気のこげパンだ、シナモンのラスクもおいしい。ワインに合いそうなオニオンコンソメなどの甘くないラスクもある。ラスクの他、那須のわやプリンケーキなどのケーキもお勧め。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒325-0303  栃木県那須郡那須町高久乙５８６－９０５,37.0422948,140.0105381,"営業時間：9：30～17:30　（冬季～16：30）
定休日：無休",,,,
38,,こばや食堂,F0038,,,,グルメ,ご当地,王道,,,,,,4.1,168,※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒329-2921  栃木県那須塩原市下塩原795,36.9740301,139.8176346,"営業時間：11:00～15:00(スープがなくなったときは早めに終了する場合あり)
定休日：不定休(主に水曜日)",,,,
39,,正嗣 駒生店,F0039,,,,グルメ,ご当地,王道,,,,,,4.0,142,宇都宮餃子会　加盟店 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒320-0065  栃木県宇都宮市駒生町1301-15,36.5783233,139.8451444,"営業時間：月、火、木～日: 10:00～19:00 （料理L.O. 19:00 ドリンクL.O. 19:00）
定休日：水、祝日、祝前日",,,,
40,,ナス・ショウゾウ カフェ,F0040,,,,グルメ,ご当地,王道,,,,,,4.5,154,※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒325-0303  栃木県那須郡那須町高久乙2730-25,37.0545997,140.0138127,取得失敗,,,,
41,,東北自動車道佐野サービスエリア（下り）,F0041,,,,グルメ,ご当地,王道,,,,,,3.9,199,※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒327-0813  栃木県佐野市黒袴町東山１０２１,36.3171905,139.6192374,"営業：レストラン7時～22時（LO）
その他：年中無休",,,,
42,,おぐら屋,F0042,,,,グルメ,ご当地,王道,,,,,,3.9,183,※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒327-0102  栃木県佐野市出流原町993-1,36.3629799,139.5416412,取得失敗,,,,
43,,ココ・ファーム・ワイナリー,F0043,,,,グルメ,王道,,,,,,,4.2,152,"1950年代、少年たちによって開かれた山の葡萄畑は、開墾以来、除草剤が撒かれたことがありません。
現在、ココ･ファーム･ワイナリーの自家製ワインはすべて｢日本ワイン｣です。
自家畑では化学肥料や除草剤は一切使わず、醸造場での醗酵も天然の野生酵母や野生乳酸菌が中心。
“こんなワインになりたい”という葡萄の声に耳を澄ませ、その持ち味を生かすことを大切にしています。 ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。",〒326-0061  栃木県足利市田島町611,36.3753429,139.4710825,"営業期間：10：00～18：00
休業：年末年始(12/31～1/2) 　1月第3月曜日から金曜日までの5日間　　収穫祭前日",,,,
44,,手打ラーメン 万里,F0044,,,,グルメ,ご当地,王道,,,,,,3.6,145,自家製の青竹手打ち麺を使用しており、独特のモチモチとした食感が楽しい。澄んだ色とは裏腹にコクのあるスープは、ほどよい醤油味で麺との相性もバッチリ！後を引くおいしさで飲み干す人も多いとか。生ニンニクのすりおろしに熱々のスープを注いだ『ニンニクラーメン』が人気。売り切れ前にお店へ急ごう。 佐野ラーメンの真髄、青竹手打ち麺を食す ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒327-0822  栃木県佐野市越名町2062-5,36.2912031,139.6019251,"営業期間：11:00～19:00　※スープ・麺　売り切れ次第終了となります
定休日：月曜",,,,
45,,手作りのイタリア料理 ジョイア・ミーア,F0045,,,,グルメ,ご当地,王道,,,,,,4.0,192,前菜からデザート、パンなど全て本格イタリアン。オススメは、薪窯で焼き上げた直径30cmの『ピザ』（１１００円～）。パリパリとしたピザ生地が最高。別荘族御用達の姉妹店「パン香房ベル・フルール」も隣接している。庭は英国式のガーデニングでまとめられ優雅。20～25名収容できる個室（要予約）もある。 薪窯で焼かれた本格派ピザは美味！ ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒325-0301  栃木県那須郡那須町湯本493-3,37.067368,140.013025,"営業：11時～22時（LO21時20分）
休業：第3木曜休、定休日が祝日の場合は営業、8月無休",,,,
46,,カフェ 明治の館,F0046,,,,グルメ,ご当地,王道,,,,,,4.2,141,東武日光駅の隣、西洋料理明治の館のケーキショップ。２階では喫茶もあり、ショップで選んだケーキやパンを愉しめる。「二ールバーナ」チーズケーキは有名。（じゃらん現地スタッフの耳より情報） ※掲載されている情報や写真については最新の情報とは限りません。必ずご自身で事前にご確認の上、ご利用ください。,〒321-1406  栃木県日光市松原町4－3,36.7567508,139.6029851,"営業：10時～18時（LO17時40分）
休業：不定",,,,
