from_id,from施設名,to_id,to施設名,distance_km,driving_minutes
F0043,ココ・ファーム・ワイナリー,F0121,桐生が岡動物園,12.76,45
F0043,ココ・ファーム・ワイナリー,F0122,ぐんまこどもの国,11.1,30
F0043,ココ・ファーム・ワイナリー,F0154,水沼駅温泉センター,22.16,55
F0043,ココ・ファーム・ワイナリー,F0211,妙ちくりん,27.35,40
F0044,手打ラーメン 万里,F0121,桐生が岡動物園,27.52,55
F0044,手打ラーメン 万里,F0122,ぐんまこどもの国,21.1,45
F0046,カフェ 明治の館,F0156,菅沼キャンプ村,21.25,60
F0046,カフェ 明治の館,F0171,白根山,20.75,60
F0046,カフェ 明治の館,F0178,丸沼,24.34,70
F0050,明治の館,F0156,菅沼キャンプ村,21.25,60
F0050,明治の館,F0171,白根山,20.75,60
F0050,明治の館,F0178,丸沼,24.34,70
F0051,森田屋総本店,F0121,桐生が岡動物園,24.62,55
F0051,森田屋総本店,F0122,ぐんまこどもの国,19.48,40
F0052,山のレストラン,F0156,菅沼キャンプ村,22.34,65
F0052,山のレストラン,F0171,白根山,22.17,65
F0052,山のレストラン,F0178,丸沼,25.49,80
F0068,グランデイソーラ,F0156,菅沼キャンプ村,28.75,80
F0068,グランデイソーラ,F0171,白根山,28.93,80
F0072,One Play-it(ワンプレイト） 陶芸・キャンドル＆アウトドア体験,F0156,菅沼キャンプ村,22.63,65
F0072,One Play-it(ワンプレイト） 陶芸・キャンドル＆アウトドア体験,F0171,白根山,22.18,65
F0072,One Play-it(ワンプレイト） 陶芸・キャンドル＆アウトドア体験,F0178,丸沼,25.73,75
F0073,日光・まなかの森,F0156,菅沼キャンプ村,26.61,70
F0073,日光・まなかの森,F0171,白根山,26.31,70
F0073,日光・まなかの森,F0178,丸沼,29.74,80
F0074,とりっくあーとぴあ日光,F0156,菅沼キャンプ村,28.97,80
F0074,とりっくあーとぴあ日光,F0171,白根山,29.03,80
F0080,仁王尊プラザ（釣堀）,F0156,菅沼キャンプ村,29.37,85
F0080,仁王尊プラザ（釣堀）,F0171,白根山,29.67,85
F0081,グラススタジオ ポンテ,F0156,菅沼キャンプ村,21.51,65
F0081,グラススタジオ ポンテ,F0171,白根山,21.3,65
F0081,グラススタジオ ポンテ,F0178,丸沼,24.65,75
F0082,伝統工芸 日光彫 五十嵐漆器,F0156,菅沼キャンプ村,22.99,60
F0082,伝統工芸 日光彫 五十嵐漆器,F0171,白根山,22.41,65
F0082,伝統工芸 日光彫 五十嵐漆器,F0178,丸沼,26.06,75
F0085,湯滝,F0113,吹割の滝,22.27,65
F0085,湯滝,F0126,尾瀬ケ原,23.43,
F0085,湯滝,F0156,菅沼キャンプ村,5.36,20
F0085,湯滝,F0171,白根山,4.7,20
F0085,湯滝,F0173,尾瀬沼,18.06,85
F0085,湯滝,F0178,丸沼,8.29,30
F0085,湯滝,F0179,吹割渓谷,22.27,65
F0085,湯滝,F0182,武尊山,26.37,155
F0085,湯滝,F0183,至仏山,25.68,80
F0087,華厳滝,F0113,吹割の滝,26.56,80
F0087,華厳滝,F0156,菅沼キャンプ村,14.45,35
F0087,華厳滝,F0171,白根山,13.09,35
F0087,華厳滝,F0173,尾瀬沼,27.14,100
F0087,華厳滝,F0178,丸沼,17.16,45
F0087,華厳滝,F0179,吹割渓谷,26.56,80
F0089,中禅寺湖,F0113,吹割の滝,24.74,80
F0089,中禅寺湖,F0156,菅沼キャンプ村,13.59,35
F0089,中禅寺湖,F0171,白根山,11.96,40
F0089,中禅寺湖,F0173,尾瀬沼,26.48,105
F0089,中禅寺湖,F0178,丸沼,16.11,50
F0089,中禅寺湖,F0179,吹割渓谷,24.73,80
F0091,竜頭ノ滝,F0113,吹割の滝,22.61,70
F0091,竜頭ノ滝,F0126,尾瀬ケ原,27.79,
F0091,竜頭ノ滝,F0156,菅沼キャンプ村,9.71,25
F0091,竜頭ノ滝,F0171,白根山,8.13,25
F0091,竜頭ノ滝,F0173,尾瀬沼,22.64,90
F0091,竜頭ノ滝,F0178,丸沼,12.25,40
F0091,竜頭ノ滝,F0179,吹割渓谷,22.61,70
F0091,竜頭ノ滝,F0182,武尊山,28.88,165
F0091,竜頭ノ滝,F0183,至仏山,29.58,90
F0092,戦場ヶ原,F0113,吹割の滝,22.7,65
F0092,戦場ヶ原,F0126,尾瀬ケ原,25.82,
F0092,戦場ヶ原,F0156,菅沼キャンプ村,7.72,20
F0092,戦場ヶ原,F0171,白根山,6.54,20
F0092,戦場ヶ原,F0173,尾瀬沼,20.51,85
F0092,戦場ヶ原,F0178,丸沼,10.48,35
F0092,戦場ヶ原,F0179,吹割渓谷,22.7,65
F0092,戦場ヶ原,F0182,武尊山,27.92,160
F0092,戦場ヶ原,F0183,至仏山,27.89,85
F0093,鬼怒楯岩大吊橋,F0156,菅沼キャンプ村,29.31,85
F0093,鬼怒楯岩大吊橋,F0171,白根山,29.7,85
F0094,男体山,F0113,吹割の滝,26.22,95
F0094,男体山,F0126,尾瀬ケ原,29.81,
F0094,男体山,F0156,菅沼キャンプ村,11.82,50
F0094,男体山,F0171,白根山,10.87,50
F0094,男体山,F0173,尾瀬沼,24.22,115
F0094,男体山,F0178,丸沼,14.73,60
F0094,男体山,F0179,吹割渓谷,26.21,95
F0095,湯ノ湖,F0113,吹割の滝,22.19,60
F0095,湯ノ湖,F0126,尾瀬ケ原,22.81,
F0095,湯ノ湖,F0156,菅沼キャンプ村,4.76,15
F0095,湯ノ湖,F0171,白根山,4.32,15
F0095,湯ノ湖,F0173,尾瀬沼,17.42,85
F0095,湯ノ湖,F0178,丸沼,7.74,30
F0095,湯ノ湖,F0179,吹割渓谷,22.19,60
F0095,湯ノ湖,F0182,武尊山,25.98,155
F0095,湯ノ湖,F0183,至仏山,25.11,80
F0098,太平山,F0122,ぐんまこどもの国,29.23,60
F0099,霧降高原,F0156,菅沼キャンプ村,18.94,75
F0099,霧降高原,F0171,白根山,19.16,80
F0099,霧降高原,F0173,尾瀬沼,28.73,145
F0099,霧降高原,F0178,丸沼,22.11,90
F0102,霧降滝,F0156,菅沼キャンプ村,22.3,70
F0102,霧降滝,F0171,白根山,22.17,70
F0102,霧降滝,F0178,丸沼,25.45,80
F0106,日光杉並木,F0156,菅沼キャンプ村,28.44,70
F0106,日光杉並木,F0171,白根山,27.83,70
F0109,高峰山,F0114,西の河原露天風呂,27.44,100
F0109,高峰山,F0115,西の河原公園,27.47,100
F0109,高峰山,F0117,大滝乃湯,27.82,100
F0109,高峰山,F0119,軽井沢おもちゃ王国,11.11,75
F0109,高峰山,F0125,草津白根山,25.3,125
F0109,高峰山,F0127,碓氷第三橋梁（めがね橋）,22.11,75
F0109,高峰山,F0147,くれさかの森陶芸工房,27.93,110
F0109,高峰山,F0157,草津温泉らくご,27.59,100
F0109,高峰山,F0162,高原キャベツ畑,11.6,75
F0109,高峰山,F0166,妙義山,28.5,75
F0109,高峰山,F0167,国指定名勝「吾妻峡」,29.63,100
F0109,高峰山,F0169,嫗仙の滝,27.05,115
F0109,高峰山,F0170,浅間山,5.73,100
F0109,高峰山,F0186,弓池,27.03,125
F0109,高峰山,F0187,本家ちちや,27.55,100
F0109,高峰山,F0190,松むら饅頭,27.63,105
F0109,高峰山,F0202,浅間酒造観光センター,23.22,85
F0109,高峰山,F0203,おぎのや ドライブイン横川,26.28,75
F0109,高峰山,F0216,道の駅 草津運動茶屋公園,26.57,100
F0109,高峰山,F0217,御座之湯,27.54,100
F0109,高峰山,F0220,草津温泉プリン,27.63,105
F0109,高峰山,F0221,ティールーム ゆきうさぎ,27.54,100
F0109,高峰山,F0222,お食事処・暖,27.6,105
F0109,高峰山,F0315,草津湯畑（夜）,27.63,105
F0109,高峰山,F0311,軽井沢 川上庵,16.58,55
F0109,高峰山,F0320,鬼押出し園,8.64,65
F0112,榛名神社,F0114,西の河原露天風呂,29.91,60
F0112,榛名神社,F0115,西の河原公園,29.81,65
F0112,榛名神社,F0116,伊香保おもちゃと人形・自動車博物館,10.47,35
F0112,榛名神社,F0117,大滝乃湯,28.9,65
F0112,榛名神社,F0118,群馬サファリパーク,26.07,60
F0112,榛名神社,F0119,軽井沢おもちゃ王国,27.64,70
F0112,榛名神社,F0123,こんにゃくパーク,24.67,55
F0112,榛名神社,F0124,前橋るなぱあく（前橋市中央児童遊園）,20.14,50
F0112,榛名神社,F0127,碓氷第三橋梁（めがね橋）,17.74,55
F0112,榛名神社,F0128,富岡製糸場,22.84,55
F0112,榛名神社,F0129,四万川ダム,27.21,70
F0112,榛名神社,F0130,水澤観音,8.63,30
F0112,榛名神社,F0133,たくみの里 四季の家,26.8,75
F0112,榛名神社,F0134,月夜野まるかチェリー園,27.13,70
F0112,榛名神社,F0137,希望の丘農園,17.82,40
F0112,榛名神社,F0139,陶芸 榛名の麓,10.74,35
F0112,榛名神社,F0140,陣平農園,15.87,40
F0112,榛名神社,F0141,たくみの里いちごの家,26.7,70
F0112,榛名神社,F0144,たくみの里農産物加工の家,26.84,70
F0112,榛名神社,F0145,ロックハート城,22.71,60
F0112,榛名神社,F0147,くれさかの森陶芸工房,23.42,70
F0112,榛名神社,F0148,からっ風焼 陶仙房,13.51,40
F0112,榛名神社,F0153,工房無限大,25.97,55
F0112,榛名神社,F0157,草津温泉らくご,29.25,65
F0112,榛名神社,F0158,奥四万湖,27.67,70
F0112,榛名神社,F0159,榛名山（榛名富士）,3.1,15
F0112,榛名神社,F0161,赤城山,29.47,80
F0112,榛名神社,F0164,榛名湖畔,2.4,15
F0112,榛名神社,F0166,妙義山,20.05,55
F0112,榛名神社,F0167,国指定名勝「吾妻峡」,16.43,40
F0112,榛名神社,F0168,四万川,21.39,45
F0112,榛名神社,F0169,嫗仙の滝,26.66,75
F0112,榛名神社,F0172,赤谷湖,29.46,80
F0112,榛名神社,F0176,四万湖,19.35,45
F0112,榛名神社,F0181,榛名高原,2.65,10
F0112,榛名神社,F0185,四万の甌穴群,23.56,50
F0112,榛名神社,F0187,本家ちちや,29.12,65
F0112,榛名神社,F0189,水沢うどん 大澤屋（第二店舗）,8.87,30
F0112,榛名神社,F0190,松むら饅頭,29.38,65
F0112,榛名神社,F0191,伊香保グリーン牧場,9.4,30
F0112,榛名神社,F0192,元祖 田丸屋,8.79,30
F0112,榛名神社,F0193,登利平 本店,22.15,60
F0112,榛名神社,F0194,永井食堂,20.35,50
F0112,榛名神社,F0195,シャンゴ 問屋町本店,18.36,40
F0112,榛名神社,F0197,清芳亭,8.06,25
F0112,榛名神社,F0198,ガトーフェスタ ハラダ ららん藤岡店,28.57,60
F0112,榛名神社,F0200,登利平 南部店,24.19,55
F0112,榛名神社,F0201,焼まんじゅう島村,25.95,55
F0112,榛名神社,F0202,浅間酒造観光センター,21.32,45
F0112,榛名神社,F0203,おぎのや ドライブイン横川,17.09,50
F0112,榛名神社,F0204,ドンレミーアウトレット 高崎店,20.79,45
F0112,榛名神社,F0205,フリアンのみそパン,28.88,65
F0112,榛名神社,F0207,コストコ 前橋倉庫店,25.77,60
F0112,榛名神社,F0209,登利平高崎モントレー店,20.79,45
F0112,榛名神社,F0210,高崎弁当,23.47,50
F0112,榛名神社,F0212,ららん藤岡,28.57,60
F0112,榛名神社,F0214,だるま大使,15.48,30
F0112,榛名神社,F0216,道の駅 草津運動茶屋公園,29.14,60
F0112,榛名神社,F0217,御座之湯,29.24,65
F0112,榛名神社,F0220,草津温泉プリン,29.34,65
F0112,榛名神社,F0221,ティールーム ゆきうさぎ,29.11,65
F0112,榛名神社,F0222,お食事処・暖,29.2,65
F0112,榛名神社,F0234,遊神館,24.46,65
F0112,榛名神社,F0235,みなかみフルーツランドモギトーレ,26.39,75
F0112,榛名神社,F0309,伊香保ロープウェイ,7.38,25
F0112,榛名神社,F0315,草津湯畑（夜）,29.24,65
F0112,榛名神社,F0311,軽井沢 川上庵,22.62,75
F0112,榛名神社,F0320,鬼押出し園,28.23,70
F0113,吹割の滝,F0126,尾瀬ケ原,25.87,
F0113,吹割の滝,F0131,果実の里 原田農園,12.47,25
F0113,吹割の滝,F0132,マックスアウトドアツアーズ水上,22.27,50
F0113,吹割の滝,F0133,たくみの里 四季の家,27.6,50
F0113,吹割の滝,F0134,月夜野まるかチェリー園,19.48,35
F0113,吹割の滝,F0138,かぬ～っこ みなかみカヌー.com,22.55,75
F0113,吹割の滝,F0141,たくみの里いちごの家,26.62,45
F0113,吹割の滝,F0142,生ゆば処 町田屋,9.02,20
F0113,吹割の滝,F0143,フォレスト＆ウォーター みなかみベース,23.18,55
F0113,吹割の滝,F0144,たくみの里農産物加工の家,26.73,50
F0113,吹割の滝,F0145,ロックハート城,21.07,45
F0113,吹割の滝,F0146,水上アウトドアセンター,18.69,70
F0113,吹割の滝,F0150,月夜野焼 祐太郎窯,20.28,45
F0113,吹割の滝,F0152,カッパCLUB,21.48,40
F0113,吹割の滝,F0154,水沼駅温泉センター,23.37,55
F0113,吹割の滝,F0155,ジャグスポーツ,21.46,50
F0113,吹割の滝,F0156,菅沼キャンプ村,20.35,50
F0113,吹割の滝,F0161,赤城山,18.52,55
F0113,吹割の滝,F0171,白根山,18.45,50
F0113,吹割の滝,F0172,赤谷湖,28.25,50
F0113,吹割の滝,F0173,尾瀬沼,25.91,50
F0113,吹割の滝,F0175,天神平,26.43,70
F0113,吹割の滝,F0177,諏訪峡,21.85,40
F0113,吹割の滝,F0178,丸沼,18.38,35
F0113,吹割の滝,F0179,吹割渓谷,0.01,0
F0113,吹割の滝,F0180,一ノ倉沢,28.53,65
F0113,吹割の滝,F0182,武尊山,13.25,95
F0113,吹割の滝,F0183,至仏山,22.56,45
F0113,吹割の滝,F0194,永井食堂,21.5,45
F0113,吹割の滝,F0196,小荒井製菓,22.47,45
F0113,吹割の滝,F0205,フリアンのみそパン,13.86,30
F0113,吹割の滝,F0224,角弥そば,22.14,50
F0113,吹割の滝,F0225,大とろ牛乳,21.8,40
F0113,吹割の滝,F0226,パノラマアドヴェンチャーズ,21.3,40
F0113,吹割の滝,F0227,まんてん星の湯,28.41,55
F0113,吹割の滝,F0229,まんてん星の湯 里山体験,28.41,55
F0113,吹割の滝,F0230,フィールドアースみなかみ,22.31,45
F0113,吹割の滝,F0231,TOP水上カンパニー,21.42,55
F0113,吹割の滝,F0232,土合駅階段,25.78,60
F0113,吹割の滝,F0233,道の駅 みなかみ水紀行館,22.41,45
F0113,吹割の滝,F0234,遊神館,29.88,55
F0113,吹割の滝,F0235,みなかみフルーツランドモギトーレ,24.08,45
F0114,西の河原露天風呂,F0112,榛名神社,29.91,65
F0114,西の河原露天風呂,F0115,西の河原公園,0.12,5
F0114,西の河原露天風呂,F0117,大滝乃湯,1.18,5
F0114,西の河原露天風呂,F0119,軽井沢おもちゃ王国,17.3,35
F0114,西の河原露天風呂,F0125,草津白根山,4.79,65
F0114,西の河原露天風呂,F0129,四万川ダム,19.02,85
F0114,西の河原露天風呂,F0133,たくみの里 四季の家,28.76,85
F0114,西の河原露天風呂,F0140,陣平農園,22.29,55
F0114,西の河原露天風呂,F0141,たくみの里いちごの家,29.64,85
F0114,西の河原露天風呂,F0144,たくみの里農産物加工の家,29.57,85
F0114,西の河原露天風呂,F0147,くれさかの森陶芸工房,6.62,35
F0114,西の河原露天風呂,F0153,工房無限大,18.02,65
F0114,西の河原露天風呂,F0157,草津温泉らくご,0.73,5
F0114,西の河原露天風呂,F0158,奥四万湖,19.45,80
F0114,西の河原露天風呂,F0160,チャツボミゴケ公園,3.27,35
F0114,西の河原露天風呂,F0162,高原キャベツ畑,17.55,45
F0114,西の河原露天風呂,F0163,野反湖,10.61,50
F0114,西の河原露天風呂,F0164,榛名湖畔,29.86,60
F0114,西の河原露天風呂,F0167,国指定名勝「吾妻峡」,13.72,35
F0114,西の河原露天風呂,F0168,四万川,18.9,60
F0114,西の河原露天風呂,F0169,嫗仙の滝,3.26,20
F0114,西の河原露天風呂,F0170,浅間山,24.84,60
F0114,西の河原露天風呂,F0172,赤谷湖,29.11,90
F0114,西の河原露天風呂,F0176,四万湖,18.32,55
F0114,西の河原露天風呂,F0184,平標山,29.94,135
F0114,西の河原露天風呂,F0185,四万の甌穴群,18.85,60
F0114,西の河原露天風呂,F0186,弓池,5.18,60
F0114,西の河原露天風呂,F0187,本家ちちや,0.84,5
F0114,西の河原露天風呂,F0190,松むら饅頭,0.62,10
F0114,西の河原露天風呂,F0201,焼まんじゅう島村,18.01,65
F0114,西の河原露天風呂,F0202,浅間酒造観光センター,9.69,20
F0114,西の河原露天風呂,F0216,道の駅 草津運動茶屋公園,1.07,5
F0114,西の河原露天風呂,F0217,御座之湯,0.71,10
F0114,西の河原露天風呂,F0220,草津温泉プリン,0.66,10
F0114,西の河原露天風呂,F0221,ティールーム ゆきうさぎ,0.85,5
F0114,西の河原露天風呂,F0222,お食事処・暖,0.78,5
F0114,西の河原露天風呂,F0227,まんてん星の湯,29.32,95
F0114,西の河原露天風呂,F0229,まんてん星の湯 里山体験,29.32,95
F0114,西の河原露天風呂,F0234,遊神館,26.13,80
F0114,西の河原露天風呂,F0315,草津湯畑（夜）,0.76,5
F0114,西の河原露天風呂,F0320,鬼押出し園,20.48,40
F0115,西の河原公園,F0112,榛名神社,29.81,65
F0115,西の河原公園,F0114,西の河原露天風呂,0.12,5
F0115,西の河原公園,F0117,大滝乃湯,1.07,10
F0115,西の河原公園,F0119,軽井沢おもちゃ王国,17.31,35
F0115,西の河原公園,F0125,草津白根山,4.9,65
F0115,西の河原公園,F0129,四万川ダム,18.92,85
F0115,西の河原公園,F0133,たくみの里 四季の家,28.65,85
F0115,西の河原公園,F0140,陣平農園,22.17,55
F0115,西の河原公園,F0141,たくみの里いちごの家,29.53,85
F0115,西の河原公園,F0144,たくみの里農産物加工の家,29.46,85
F0115,西の河原公園,F0147,くれさかの森陶芸工房,6.51,35
F0115,西の河原公園,F0153,工房無限大,17.92,65
F0115,西の河原公園,F0157,草津温泉らくご,0.61,5
F0115,西の河原公園,F0158,奥四万湖,19.36,80
F0115,西の河原公園,F0160,チャツボミゴケ公園,3.26,35
F0115,西の河原公園,F0162,高原キャベツ畑,17.62,45
F0115,西の河原公園,F0163,野反湖,10.57,50
F0115,西の河原公園,F0164,榛名湖畔,29.76,60
F0115,西の河原公園,F0167,国指定名勝「吾妻峡」,13.61,35
F0115,西の河原公園,F0168,四万川,18.78,60
F0115,西の河原公園,F0169,嫗仙の滝,3.16,20
F0115,西の河原公園,F0170,浅間山,24.85,65
F0115,西の河原公園,F0172,赤谷湖,29.01,90
F0115,西の河原公園,F0176,四万湖,18.21,55
F0115,西の河原公園,F0184,平標山,29.87,135
F0115,西の河原公園,F0185,四万の甌穴群,18.74,60
F0115,西の河原公園,F0186,弓池,5.3,60
F0115,西の河原公園,F0187,本家ちちや,0.72,5
F0115,西の河原公園,F0190,松むら饅頭,0.5,10
F0115,西の河原公園,F0201,焼まんじゅう島村,17.91,65
F0115,西の河原公園,F0202,浅間酒造観光センター,9.62,20
F0115,西の河原公園,F0216,道の駅 草津運動茶屋公園,1.04,5
F0115,西の河原公園,F0217,御座之湯,0.6,5
F0115,西の河原公園,F0220,草津温泉プリン,0.55,10
F0115,西の河原公園,F0221,ティールーム ゆきうさぎ,0.74,5
F0115,西の河原公園,F0222,お食事処・暖,0.67,5
F0115,西の河原公園,F0227,まんてん星の湯,29.23,95
F0115,西の河原公園,F0229,まんてん星の湯 里山体験,29.23,95
F0115,西の河原公園,F0234,遊神館,26.02,80
F0115,西の河原公園,F0315,草津湯畑（夜）,0.64,5
F0115,西の河原公園,F0320,鬼押出し園,20.49,40
F0116,伊香保おもちゃと人形・自動車博物館,F0112,榛名神社,10.47,35
F0116,伊香保おもちゃと人形・自動車博物館,F0118,群馬サファリパーク,27.52,55
F0116,伊香保おもちゃと人形・自動車博物館,F0123,こんにゃくパーク,24.87,55
F0116,伊香保おもちゃと人形・自動車博物館,F0124,前橋るなぱあく（前橋市中央児童遊園）,11.34,25
F0116,伊香保おもちゃと人形・自動車博物館,F0127,碓氷第三橋梁（めがね橋）,26.94,65
F0116,伊香保おもちゃと人形・自動車博物館,F0128,富岡製糸場,24.31,55
F0116,伊香保おもちゃと人形・自動車博物館,F0130,水澤観音,2.76,5
F0116,伊香保おもちゃと人形・自動車博物館,F0131,果実の里 原田農園,23.91,35
F0116,伊香保おもちゃと人形・自動車博物館,F0133,たくみの里 四季の家,26.69,55
F0116,伊香保おもちゃと人形・自動車博物館,F0134,月夜野まるかチェリー園,23.63,40
F0116,伊香保おもちゃと人形・自動車博物館,F0137,希望の丘農園,16.21,40
F0116,伊香保おもちゃと人形・自動車博物館,F0139,陶芸 榛名の麓,0.42,5
F0116,伊香保おもちゃと人形・自動車博物館,F0140,陣平農園,19.31,40
F0116,伊香保おもちゃと人形・自動車博物館,F0141,たくみの里いちごの家,26.2,50
F0116,伊香保おもちゃと人形・自動車博物館,F0142,生ゆば処 町田屋,25.96,40
F0116,伊香保おもちゃと人形・自動車博物館,F0144,たくみの里農産物加工の家,26.38,50
F0116,伊香保おもちゃと人形・自動車博物館,F0145,ロックハート城,18.68,40
F0116,伊香保おもちゃと人形・自動車博物館,F0148,からっ風焼 陶仙房,3.17,10
F0116,伊香保おもちゃと人形・自動車博物館,F0153,工房無限大,29.95,55
F0116,伊香保おもちゃと人形・自動車博物館,F0154,水沼駅温泉センター,27.85,65
F0116,伊香保おもちゃと人形・自動車博物館,F0159,榛名山（榛名富士）,8.25,30
F0116,伊香保おもちゃと人形・自動車博物館,F0161,赤城山,19.52,50
F0116,伊香保おもちゃと人形・自動車博物館,F0164,榛名湖畔,9.2,30
F0116,伊香保おもちゃと人形・自動車博物館,F0166,妙義山,26.94,60
F0116,伊香保おもちゃと人形・自動車博物館,F0167,国指定名勝「吾妻峡」,24.72,55
F0116,伊香保おもちゃと人形・自動車博物館,F0168,四万川,25.37,50
F0116,伊香保おもちゃと人形・自動車博物館,F0172,赤谷湖,29.51,55
F0116,伊香保おもちゃと人形・自動車博物館,F0176,四万湖,23.91,45
F0116,伊香保おもちゃと人形・自動車博物館,F0181,榛名高原,8.27,30
F0116,伊香保おもちゃと人形・自動車博物館,F0185,四万の甌穴群,27.34,50
F0116,伊香保おもちゃと人形・自動車博物館,F0188,ガトーフェスタ ハラダ 新本館シャトー・デュ・ボヌール,25.18,40
F0116,伊香保おもちゃと人形・自動車博物館,F0189,水沢うどん 大澤屋（第二店舗）,2.58,5
F0116,伊香保おもちゃと人形・自動車博物館,F0191,伊香保グリーン牧場,4.44,10
F0116,伊香保おもちゃと人形・自動車博物館,F0192,元祖 田丸屋,2.65,5
F0116,伊香保おもちゃと人形・自動車博物館,F0193,登利平 本店,13.82,30
F0116,伊香保おもちゃと人形・自動車博物館,F0194,永井食堂,12.82,30
F0116,伊香保おもちゃと人形・自動車博物館,F0195,シャンゴ 問屋町本店,13,30
F0116,伊香保おもちゃと人形・自動車博物館,F0197,清芳亭,5.52,10
F0116,伊香保おもちゃと人形・自動車博物館,F0198,ガトーフェスタ ハラダ ららん藤岡店,23.17,35
F0116,伊香保おもちゃと人形・自動車博物館,F0200,登利平 南部店,16.78,25
F0116,伊香保おもちゃと人形・自動車博物館,F0201,焼まんじゅう島村,29.93,55
F0116,伊香保おもちゃと人形・自動車博物館,F0203,おぎのや ドライブイン横川,25.1,55
F0116,伊香保おもちゃと人形・自動車博物館,F0204,ドンレミーアウトレット 高崎店,16.03,35
F0116,伊香保おもちゃと人形・自動車博物館,F0205,フリアンのみそパン,22.9,35
F0116,伊香保おもちゃと人形・自動車博物館,F0207,コストコ 前橋倉庫店,18.36,30
F0116,伊香保おもちゃと人形・自動車博物館,F0209,登利平高崎モントレー店,16.12,40
F0116,伊香保おもちゃと人形・自動車博物館,F0210,高崎弁当,18.67,40
F0116,伊香保おもちゃと人形・自動車博物館,F0211,妙ちくりん,23.72,35
F0116,伊香保おもちゃと人形・自動車博物館,F0212,ららん藤岡,23.18,35
F0116,伊香保おもちゃと人形・自動車博物館,F0214,だるま大使,12.98,25
F0116,伊香保おもちゃと人形・自動車博物館,F0234,遊神館,25.3,55
F0116,伊香保おもちゃと人形・自動車博物館,F0235,みなかみフルーツランドモギトーレ,24.84,50
F0116,伊香保おもちゃと人形・自動車博物館,F0309,伊香保ロープウェイ,5.79,15
F0117,大滝乃湯,F0112,榛名神社,28.9,65
F0117,大滝乃湯,F0114,西の河原露天風呂,1.18,5
F0117,大滝乃湯,F0115,西の河原公園,1.07,10
F0117,大滝乃湯,F0119,軽井沢おもちゃ王国,17.46,40
F0117,大滝乃湯,F0125,草津白根山,5.95,65
F0117,大滝乃湯,F0129,四万川ダム,18.03,80
F0117,大滝乃湯,F0133,たくみの里 四季の家,27.68,90
F0117,大滝乃湯,F0140,陣平農園,21.11,55
F0117,大滝乃湯,F0141,たくみの里いちごの家,28.55,85
F0117,大滝乃湯,F0144,たくみの里農産物加工の家,28.48,90
F0117,大滝乃湯,F0147,くれさかの森陶芸工房,5.53,30
F0117,大滝乃湯,F0153,工房無限大,17,60
